#
# ISO 15924 - Codes for the representation of names of scripts
#             Codes pour la représentation des noms d’écritures
# Format:
#             Code;N°;English Name;Nom français;PVA;Unicode Version;Date
#

Adlm;166;Adlam;adlam;Adlam;9.0;2016-12-05
Afak;439;Afaka;afaka;;;2010-12-21
Aghb;239;Caucasian Albanian;aghbanien;Caucasian_Albanian;7.0;2014-11-15
Ahom;338;Ahom, Tai Ahom;âhom;Ahom;8.0;2015-07-07
Arab;160;Arabic;arabe;Arabic;1.1;2004-05-01
Aran;161;Arabic (Nastaliq variant);arabe (variante nastalique);;1.1;2014-11-15
Armi;124;Imperial Aramaic;araméen impérial;Imperial_Aramaic;5.2;2009-06-01
Armn;230;Armenian;arménien;Armenian;1.1;2004-05-01
Avst;134;Avestan;avestique;Avestan;5.2;2009-06-01
Bali;360;Balinese;balinais;Balinese;5.0;2006-10-10
Bamu;435;Bamum;bamoum;Bamum;5.2;2009-06-01
Bass;259;Bassa Vah;bassa;Bassa_Vah;7.0;2014-11-15
Batk;365;Batak;batik;Batak;6.0;2010-07-23
Beng;325;Bengali (Bangla);bengalî (bangla);Bengali;1.1;2016-12-05
Bhks;334;Bhaiksuki;bhaïksukî;Bhaiksuki;9.0;2016-12-05
Blis;550;Blissymbols;symboles Bliss;;;2004-05-01
Bopo;285;Bopomofo;bopomofo;Bopomofo;1.1;2004-05-01
Brah;300;Brahmi;brahma;Brahmi;6.0;2010-07-23
Brai;570;Braille;braille;Braille;3.0;2004-05-01
Bugi;367;Buginese;bouguis;Buginese;4.1;2006-06-21
Buhd;372;Buhid;bouhide;Buhid;3.2;2004-05-01
Cakm;349;Chakma;chakma;Chakma;6.1;2012-02-06
Cans;440;Unified Canadian Aboriginal Syllabics;syllabaire autochtone canadien unifié;Canadian_Aboriginal;3.0;2004-05-29
Cari;201;Carian;carien;Carian;5.1;2007-07-02
Cham;358;Cham;cham (čam, tcham);Cham;5.1;2009-11-11
Cher;445;Cherokee;tchérokî;Cherokee;3.0;2004-05-01
Chrs;109;Chorasmian;chorasmien;Chorasmian;13.0;2019-08-19
Cirt;291;Cirth;cirth;;;2004-05-01
Copt;204;Coptic;copte;Coptic;4.1;2006-06-21
Cpmn;402;Cypro-Minoan;syllabaire chypro-minoen;Cypro_Minoan;14.0;2017-07-26
Cprt;403;Cypriot syllabary;syllabaire chypriote;Cypriot;4.0;2017-07-26
Cyrl;220;Cyrillic;cyrillique;Cyrillic;1.1;2004-05-01
Cyrs;221;Cyrillic (Old Church Slavonic variant);cyrillique (variante slavonne);;1.1;2004-05-01
Deva;315;Devanagari (Nagari);dévanâgarî;Devanagari;1.1;2004-05-01
Diak;342;Dives Akuru;dives akuru;Dives_Akuru;13.0;2019-08-19
Dogr;328;Dogra;dogra;Dogra;11.0;2016-12-05
Dsrt;250;Deseret (Mormon);déseret (mormon);Deseret;3.1;2004-05-01
Dupl;755;Duployan shorthand, Duployan stenography;sténographie Duployé;Duployan;7.0;2014-11-15
Egyd;070;Egyptian demotic;démotique égyptien;;;2004-05-01
Egyh;060;Egyptian hieratic;hiératique égyptien;;5.2;2004-05-01
Egyp;050;Egyptian hieroglyphs;hiéroglyphes égyptiens;Egyptian_Hieroglyphs;5.2;2009-06-01
Elba;226;Elbasan;elbasan;Elbasan;7.0;2014-11-15
Elym;128;Elymaic;élymaïque;Elymaic;12.0;2018-08-26
Ethi;430;Ethiopic (Geʻez);éthiopien (geʻez, guèze);Ethiopic;3.0;2004-10-25
Geok;241;Khutsuri (Asomtavruli and Nuskhuri);khoutsouri (assomtavrouli et nouskhouri);Georgian;1.1;2012-10-16
Geor;240;Georgian (Mkhedruli and Mtavruli);géorgien (mkhédrouli et mtavrouli);Georgian;1.1;2016-12-05
Glag;225;Glagolitic;glagolitique;Glagolitic;4.1;2006-06-21
