Name	Type	Platform	Location	Availability	Description
WebReuser	Development	Windows 95, Windows NT, HPUX 9.05 and 10.2, Solaris 2.4 and 2.5	http://www.stablesoft.com	Evaluation	WebReuser is a re-use tool from Hitachi Europe Limited. WebReuser is a tool that simplifies software reuse. Its ability to track, schematize and search documents makes it the ideal way to understand C++ code. These features also make WebReuser an ideal tool to classify any Web resource. WebReuser can even be used for more general documentation management tasks.
MacAnova	Development	Windows, Motif, Mac	http://www.stat.umn.edu/~gary/macanova/macanova.home.html	Free	A large statistical application from the School of Statistics, University of Minnesota. It is based on a modified version of wxWindows 1.65.
Hardy	Development	Win 3.1, WIN32, Motif (Sun only)	http://www.aiai.ed.ac.uk/~hardy/	Freeware for personal and academic use	A hypertext-based diagramming and knowledge-based system development tool, with NASA's CLIPS built-in. It is a superset of wxCLIPS.
wxCLIPS	Development	Win 3.1, WIN32, Motif, XView	http://web.ukonline.co.uk/julian.smart/wxclips	Freeware	A GUI development environment for CLIPS applications.
wxPython	Development	wxWindows 2 for the new version	http://alldunn.com/wxPython/	Freeware	Python/wxWindows combination by Robin Dunn and Harri Pasanen. Python is an elegant object-oriented, interpreted language that runs on many platforms.
MrEd	Development	Win 3.1, WIN32, Motif, XView	http://www.cs.rice.edu/CS/PLT/packages/mred/	Freeware	MrEd is a combined editor and Scheme development environment by Matthew Flatt.
WXLisp	Development	Win 3.1, WIN32, Motif, XView	http://www.cadlab.de/~lipuser/wxlisp/wxlisp.html	Freeware	A combination of wxWindows and XLisp.
Scriptum	Development	Motif	http://www.isoft.com.ar/eng/products/system/scriptum.html	Freeware	Graphical editor with visual highlighting, navigation/browsing, undo, class browser for C++ and Java, source code management, file locking, remote editing using ftp, configurable.
WipeOut	Development	XView/Linux	http://www.softwarebuero.de/wipeout-eng.html	Giftware	WipeOut is an integrated development environment for C++ projects, available for Linux/XView. The authors are working on versions for SunOS/Solaris. Source is available for porting to other platforms.
OPL	Development	Win 3.1, WIN32, Motif, XView	http://www.ozemail.com.au/~adavison/	Freeware	Object Prolog is a portable implementation of Prolog by Andrew Davison, with object-oriented extensions, entirely written in C++. In the initial version, a binding to wxWindows is available. In the revamped version, this binding has not been written yet.
Dataplore	Graphics and sound	Windows, other?	http://www.datan.de/dataplore	Commercial	Data visualisation tool, from Datan
VCG Tool	Graphics and sound	Win 3.1, WIN32, Motif, XView	http://www.cs.uni-sb.de:80/RW/users/sander/html/gsvcg1.html	Freeware	A graph layout tool similar to GraphPlace, but with extensions. Very nice indeed!
Y.E.S.	Graphics and sound	Win 3.1, WIN32, XView (Linux)	ftp://ftp.musik.uni-essen.de/pub/EsAC/program/	Shareware	Monophonic notation program.
JAZZ	Graphics and sound	XView (Linux)	http://rokke.aug.hiagder.no/per/jazz.html	Freeware	A MIDI sequencer for Linux.
